id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,created_at,updated_at,name,lastname,surname,role,picture,status,position,rut,phone,street,number,city,district,county,country,department_id,store_id,assigned_shift,begin_shift
1,demo25@tooxs.com,$2a$11$yvB2.Kf2BugZg94j/9oSx.Q6/ZPKJ.3cU/dHdrb8O3.ouKixD3z8C,,,,0,,,,,2018-11-19 14:08:05.763468,2018-11-19 14:08:05.763468,Ricardo,Gonzalez,"",7,"",0,"",12.222.008-7,56999999999,El Vergel,323,Santiago,-,Providencia,CL,1,1,1,2017-10-01
2,demo78@tooxs.com,$2a$11$Qt6Em3Gk1v5n4vqgTyB93ewOO.k.Vr.FH3JTkKoOuiJqpdwCZrDv.,,,,1,2018-09-03 11:43:40,2018-09-03 11:43:40,127.0.0.1,127.0.0.1,2018-11-19 14:08:05.964809,2018-11-19 14:08:05.964809,Claudia Andrea,Bravo Lopez,"",7,"",0,"",18.004.462-0,56999999999,Los Poetas,234,Santiago,-,Maipu,CL,5,1,1,2017-10-01
3,demo79@tooxs.com,$2a$11$MnJdr1rt/aSHh8kJRIQuPuAGipJg7.boBS7FQTw5TdWp673KkKuUS,,,,2,2018-09-03 09:56:40,2018-09-02 15:25:09,127.0.0.1,127.0.0.1,2018-11-19 14:08:06.166669,2018-11-19 14:08:06.166669,Juan ,Herrera,Valenzuela,6,"",0,"",11.692.224-K,56999999999,Los espinos,323,Santiago,-,Providencia,CL,1,1,1,2017-10-01
4,demo80@tooxs.com,$2a$11$wkO5Mog81qee/KVsB3b1Pui3fglXZQPVmPhr04yo.xxlngj3eOZru,,,,3,2018-09-04 14:45:58,2018-09-03 22:22:07,127.0.0.1,127.0.0.1,2018-11-19 14:08:06.392595,2018-11-19 14:08:06.392595,Ulises,Medina,"",6,"",0,"",19.395.784-6,56999999999,Los Conquistadores,64,Santiago,-,Providencia,CL,5,1,2,2017-10-01
5,demo81@tooxs.com,$2a$11$BkHBr5KDSxHI2ADKDHJHduZY77nKAsnigQgsgrMa6b.htPf4.CO8W,,,,1,2018-09-03 10:55:42,2018-09-03 10:55:42,127.0.0.1,127.0.0.1,2018-11-19 14:08:06.687446,2018-11-19 14:08:06.687446,Rodrigo,Sanz,"",5,"",0,"",12.637.373-2,56999999999,Mapocho,5,Santiago,-,Cerro Navia,CL,1,1,2,2017-10-01
6,demo82@tooxs.com,$2a$11$QdoPoElg02ESIBjWc8EnWu0NdAC.JtChNBegVexyVeFkRZFSqSdS6,,,,1,2018-09-03 10:57:02,2018-09-03 10:57:02,127.0.0.1,127.0.0.1,2018-11-19 14:08:06.959617,2018-11-19 14:08:06.959617,Margarita,Cuevas,"",4,"",0,"",13.619.919-6,56999999999,Av Manuel Rodriguez,332,Santiago,-,Temuco,CL,5,1,2,2017-10-01
7,demo83@tooxs.com,$2a$11$LxsCm2wjDabfwo6U1eS6dOewB1OCFK0kWabh3nJvNl3vhrAuWwUr.,,,,1,2018-09-03 10:58:05,2018-09-03 10:58:05,127.0.0.1,127.0.0.1,2018-11-19 14:08:07.191849,2018-11-19 14:08:07.191849,Pedro,Silva,"",3,"",0,"",13.077.844-5,56999999999,Costanera,22,Santiago,-,Vitacura,CL,1,1,3,2017-10-01
8,demo84@tooxs.com,$2a$11$MUyxCxHT6NcRntA25IGvl.9VKFipiv7ceBtGi.sPYMdXyMxf6C5hC,,,,1,2018-09-03 10:58:31,2018-09-03 10:58:31,127.0.0.1,127.0.0.1,2018-11-19 14:08:07.53384,2018-11-19 14:08:07.53384,Pablo,Jara,"",2,"",0,"",19.686.769-4,56999999999,Los Robles,556,Santiago,-,Puente Alto,CL,5,1,4,2017-10-01
9,demo67@tooxs.com,$2a$11$FwykTGXW7uC/dbhNXP236.SZYI4cHZvahe5rgVRnX4VdsdKL33bFG,,,,0,,,,,2018-11-19 14:08:07.857537,2018-11-19 14:08:07.857537,Luis,Sanchez,,7,,0,,16.999.197-9,56999999999,Los Castaños,221,Santiago,-,Macul,CL,1,1,5,2017-10-01
10,demo85@tooxs.com,$2a$11$qzUtIfCrQLGvR/sLfIotV.DIfkWDuoyMbyJ3cHfi2KFQBM3pCdxY.,,,,1,2018-09-03 10:59:49,2018-09-03 10:59:49,127.0.0.1,127.0.0.1,2018-11-19 14:08:08.085041,2018-11-19 14:08:08.085041,Ricardo,Urrutia,"",1,"",0,"",17.034.487-1,56999999999,Av. Alemania,6332,Santiago,-,San Pedro de la Paz,CL,5,1,1,2017-10-01
11,demo86@tooxs.com,$2a$11$Mc4Hx0XZc2iml2QFTuSG/uk13.ipG.pLx.mbtfr57mpefUXdZX3Rq,,,,0,,,,,2018-11-19 14:08:08.390804,2018-11-19 14:08:08.390804,Carlos,Paz,,7,,0,,16.599.858-8,56999999999,Av. Sting,664,Santiago,-,La Reina,CL,5,1,2,2017-10-01
12,demo87@tooxs.com,$2a$11$mUHEgAd/Cl25MpB3cIMol.X6J1hYSB1i3dTyPO.zlmVytT54oY2j.,,,,0,,,,,2018-11-19 14:08:08.690787,2018-11-19 14:08:08.690787,Antonio,Brown,,7,,0,,16.853.640-2,56999999999,Av Balmaceda,313,Santiago,-,Macul,CL,1,1,7,2017-10-01
13,demo75@tooxs.com,$2a$11$obU0KMLq6sLzTGPscNS4/uaqQ5TEeVYpg.ERzYmVgsco2yTIaE5XO,,,,0,,,,,2018-11-19 14:08:08.983439,2018-11-19 14:08:08.983439,Javiera,Ruiz,,7,,0,,16.423.245-K,56999999999,Los Robles,453,Santiago,-,La Florida,CL,1,1,8,2017-10-01
14,demo77@tooxs.com,$2a$11$fOxAEXU1cxuBpnUlF7QuN.oG0IjFHEbqYSi3y6U8zXpGa1TjBWsQK,,,,0,,,,,2018-11-19 14:08:09.355675,2018-11-19 14:08:09.355675,Alejandra,Fuentes,,7,,0,,8.434.840-3,56999999999,Tobalaba,44,Santiago,-,Providencia,CL,5,1,1,2017-10-01
15,demo76@tooxs.com,$2a$11$uXs7ce5eTZ2BnPYYyIqZ9u4PSwcWzqPG2jqTWdbrQKon9sVErgwu6,,,,0,,,,,2018-11-19 14:08:09.66839,2018-11-19 14:08:09.66839,Juan Pablo,Garcia,,7,,0,,8.658.424-7,56999999999,Vitacura,889,Santiago,-,Vitacura,CL,1,1,1,2017-10-01
16,demo27@tooxs.com,$2a$11$jq/6XjF1ur3Lf7ZL6frwnuh4EsJbsGvg23r2IOVkCiteW8OMjcjXG,,,,0,,,,,2018-11-19 14:08:09.952135,2018-11-19 14:08:09.952135,Mauricio,Martinez,,7,,0,,13.953.401-8 ,56999999999,Ricardo Lyon,65,Santiago,-,Providencia,CL,1,1,2,2017-10-01
17,demo29@tooxs.com,$2a$11$G1j7O5oEq.gnj2pqd3yheO.pa0ftCVsN0N5.jIVzkrzZLAskJ1OI2,,,,0,,,,,2018-11-19 14:08:10.248585,2018-11-19 14:08:10.248585,Francisco,Lillo,,7,,0,,12.095.259-5,56999999999,Pedro de Valdivia,654,Santiago,-,Providencia,CL,5,1,9,2017-10-01
18,demo66@tooxs.com,$2a$11$Yr9ooZkW56hA55F1yrfxRupEo87VL0ygZFw.ygflBblZ9ezL/WsDK,,,,0,,,,,2018-11-19 14:08:10.503601,2018-11-19 14:08:10.503601,Luis,Moya,,7,,0,,16.163.012-8,56999999999,Holanda,64,Santiago,-,Providencia,CL,5,1,6,2017-10-01
